type,,f,f,f,r,r,r,r,f
source,,f1 (t-1),f2 (t-1),f3 (t-1),r1 (t-1),r2 (t-1),r3 (t-1),r4 (t-1),p
dataset,value,,,,,,,,
trn,1995-10-30,0.24345849435212638,0.16427519215974723,0.30163829485142435,0.1,0.1,0.1567818752790141,0.1,0.2832216021849817
trn,1996-01-16,0.5271059764925624,0.5006740612643198,0.5505431030322305,0.1,0.1,0.1,0.1,0.555036650672527
trn,1996-09-26,0.14559512563696272,0.18208976111375016,0.1487893601527755,0.1857690027870236,0.26245538642137906,0.2502307209641576,0.2761542024202177,0.18648848016315933
trn,1995-04-12,0.38050414639488916,0.3375501048067548,0.3665863745534804,0.1,0.1,0.1,0.1,0.41607721749796445
trn,1995-04-30,0.34173240044626285,0.2992250099800854,0.30084296025831625,0.1,0.1,0.1,0.1,0.36580780241848554
trn,1995-02-26,0.6595167635155935,0.6646715682687631,0.651269792375011,0.1,0.1,0.18030169811655933,0.1,0.6789542185242875
trn,1994-02-03,0.6858758414491811,0.6371188230007739,0.668444209607221,0.1,0.1,0.1,0.16227991553292184,0.695331784204907
trn,1994-05-12,0.34357270266366324,0.29148247790720583,0.341712591412697,0.1,0.1,0.1,0.1,0.372519616220381
trn,1996-01-22,0.420527987023563,0.35658527317771527,0.4071589547680321,0.1,0.1,0.1,0.1,0.44735550861168893
trn,1994-10-29,0.43211838728374175,0.415315518543802,0.5186329916166513,0.24855627054164153,0.1,0.44539066334725363,0.28683974659876554,0.49448793761083987
trn,1995-11-04,0.19492307671933318,0.15724488769433295,0.22041688886452926,0.1,0.1,0.1,0.1,0.2181972478464672
trn,1993-12-08,0.6347133824834176,0.4548821298690765,0.6624916764197885,0.27153800557404717,0.1,0.42120679246623727,0.3491196621316873,0.686768759299218
trn,1993-02-23,0.35702176757504067,0.35230442700451114,0.33932402375008475,0.22129568697262458,0.1,0.1567818752790141,0.18807710121010887,0.406050794654504
trn,1995-04-01,0.6277045779796415,0.5128921356042839,0.5963043045958146,0.27153800557404717,0.1,0.7220142789552192,0.3491196621316873,0.6079357331513534
trn,1996-02-27,0.5861121016521287,0.5382332697399299,0.5625852694786317,0.1,0.1,0.1567818752790141,0.2392621247645583,0.5969388748776912
trn,1996-06-19,0.2160149434354575,0.21358802216690392,0.2159192105420314,0.1,0.1,0.1,0.1,0.24457047931829318
trn,1994-03-21,0.4744700582456609,0.4419481515115421,0.5131213772800204,0.1857690027870236,0.1,0.1,0.16227991553292184,0.5253219376105074
trn,1996-08-21,0.13720575570329507,0.17131580275356606,0.14669212025594627,0.24855627054164153,0.26245538642137906,0.35393626602758066,0.1,0.16359327998577894
trn,1996-07-28,0.15685158038492064,0.16535477593841336,0.14394873164974606,0.1,0.1,0.1,0.1,0.17823752155462042
trn,1996-12-21,0.7848029300695323,0.9,0.7250025929462233,0.43218191941495987,0.18122769321068954,0.40577975643564745,0.3491196621316873,0.7518250059265623
trn,1994-11-17,0.6530068245016598,0.6867399339878786,0.6754469159089437,0.34259137394524913,0.21487330537883811,0.34750645616595277,0.4051080285585895,0.6739581852611783
trn,1994-06-06,0.36246378711099614,0.2693035698863322,0.3280963815656399,0.1857690027870236,0.2406904916225318,0.18030169811655933,0.16227991553292184,0.358030472329426
trn,1993-12-30,0.7333206276835,0.7022199602711208,0.7532892342478268,0.4209182228343017,0.4632612873491998,0.4851134152029367,0.49389277113386487,0.8073852939516414
trn,1995-08-03,0.14353394771701464,0.11704980500806968,0.160372757293172,0.1,0.1,0.1,0.1,0.14749723123077946
trn,1995-09-23,0.17045128198245185,0.14847974527307667,0.15783503177422534,0.22129568697262458,0.1,0.19834909293229164,0.18807710121010887,0.18818913156041228
trn,1994-09-28,0.41132067215162704,0.30486409281032967,0.4430171375678488,0.1,0.1,0.21356375055802818,0.16227991553292184,0.41823119274965204
trn,1993-11-21,0.3982672236495719,0.3744703591212001,0.34595443581931895,0.1,0.1,0.19834909293229164,0.1,0.4407237586438173
trn,1996-03-23,0.5229053664269211,0.4474598760420565,0.5046393752048407,0.1,0.40392619831238397,0.19834909293229164,0.16227991553292184,0.5538034170616982
trn,1994-12-08,0.720088206636449,0.654798633534419,0.7484742392681643,0.4638870609178737,0.5630690981816014,0.45912011139458686,0.4411211461689767,0.7948226874694236
trn,1994-10-07,0.3767323813927842,0.2757366680925745,0.37861412929095417,0.1,0.1,0.1,0.1,0.4003194566737768
trn,1994-04-04,0.5087683785660428,0.5335949824856288,0.5993526918669729,0.38446360088750386,0.21487330537883811,0.5682353387920468,0.5864216901064966,0.6883646911256774
trn,1993-02-12,0.4520327482396349,0.4510575349528233,0.4316901252620454,0.1,0.1,0.1,0.1,0.4936786820343889
trn,1994-10-02,0.29593738027588057,0.26240300744334566,0.32324743718289833,0.3269234515724702,0.2989664013495228,0.521105657538679,0.38540242720507034,0.40719292449309186
trn,1996-10-22,0.3821761372894018,0.4051455139127129,0.5701848881333689,0.1,0.1,0.1,0.1,0.4436062265745859
trn,1994-08-02,0.23068372337193963,0.25541022263524416,0.23099476631903226,0.27153800557404717,0.18122769321068954,0.1,0.28683974659876554,0.27289574660832494
trn,1994-12-18,0.548244563285165,0.6107811193563001,0.6267138158673731,0.49304294755241407,0.4446199161365143,0.5074866133388652,0.5943315045226598,0.7467540262154723
