type,,f,r,r,r,r,f
source,,f3 (t-1),r1 (t-1),r2 (t-1),r3 (t-1),r4 (t-1),p
dataset,value,,,,,,
trn,1993-05-27,0.4469072954042309,0.35730700836107077,0.2989664013495228,0.3526315789473684,0.49878603665412236,0.4736786084343525
trn,1996-07-28,0.15031507245101358,0.1,0.1,0.1,0.1,0.17823752155462042
trn,1993-10-16,0.509855164425998,0.1,0.1,0.1,0.16227991553292184,0.5398977397994088
trn,1993-01-30,0.6795349886176476,0.1857690027870236,0.1,0.24585691011106336,0.2392621247645583,0.6517386293943271
trn,1995-06-04,0.2955973503937641,0.3100902925755561,0.2816306436745999,0.5125456408897985,0.4051080285585895,0.31221322429991816
trn,1994-02-09,0.6164682810532288,0.3712254014483243,0.21487330537883811,0.5038594967000185,0.5660602120028283,0.6619692745061266
trn,1995-06-21,0.2691537459009421,0.1857690027870236,0.1,0.24585691011106336,0.3157439559882375,0.32289415143448325
trn,1995-11-12,0.4703828563807193,0.7418364456686033,0.7795996395695725,0.1,0.5403855060505444,0.5986335106618536
trn,1993-01-20,0.7901583198686827,0.35730700836107077,0.1,0.4904681471787665,0.7472318679647124,0.7481988782421957
trn,1994-12-17,0.6409550934940769,0.1,0.1,0.2031364102224496,0.16227991553292184,0.6367727818206527
trn,1995-11-05,0.2304843857727788,0.1,0.1,0.1,0.1,0.21224662793699015
trn,1996-10-13,0.26051476594203793,0.1,0.2816306436745999,0.15954583420518295,0.2647771681742199,0.2422350310957059
trn,1994-02-28,0.868747760153007,0.3269234515724702,0.31490827580693415,0.5082256722034804,0.49878603665412236,0.8767861729361063
trn,1996-12-07,0.578337835197887,0.1857690027870236,0.1,0.6879680018429029,0.1,0.5467441285276103
trn,1994-06-04,0.2954300110769451,0.528845013935118,0.3694017809659559,0.5726304067503927,0.45230840484043544,0.35026179825932535
trn,1995-04-07,0.4416461231612612,0.1,0.1,0.15954583420518295,0.1,0.461808691556558
trn,1994-05-21,0.3325327117606423,0.1,0.1,0.1,0.1,0.358835026031325
trn,1996-03-17,0.42450715423867635,0.1,0.4632612873491998,0.36629706611944246,0.33303010600141414,0.5222129318909703
trn,1996-04-16,0.3276672005507617,0.1,0.1,0.1842105263157895,0.16227991553292184,0.3497799774009984
trn,1995-07-25,0.20138996936970444,0.1,0.1,0.23314853305972125,0.1,0.185526613166618
trn,1993-11-04,0.3327247170518599,0.24855627054164153,0.2406904916225318,0.2575434689167975,0.2392621247645583,0.3810274760128618
trn,1995-01-19,0.6902047561751586,0.24855627054164153,0.1,0.15954583420518295,0.18807710121010887,0.6754952086334536
trn,1996-02-03,0.3346882417502902,0.22129568697262458,0.1,0.1,0.18807710121010887,0.4176538163271355
trn,1994-04-09,0.7544487446192517,0.5201805851511122,0.38138098324506364,0.6522053494149053,0.6097830792393838,0.7291707875053806
trn,1993-11-29,0.38663352662454,0.1,0.1,0.1,0.1,0.4954542490531846
trn,1996-04-14,0.33913801427057,0.1,0.1,0.2190916684103659,0.20787197799411877,0.3559448941017844
trn,1993-04-12,0.5800856933052286,0.4835706411883074,0.35686451962717425,0.2190916684103659,0.2392621247645583,0.6078785308843562
trn,1995-10-04,0.32200471477224424,0.34259137394524913,0.21487330537883811,0.4622031691386369,0.5576620428378845,0.43911843078040425
trn,1994-05-11,0.36666974679723674,0.1,0.1,0.1,0.1,0.3832430401462005
trn,1994-02-24,0.4033374283026321,0.3269234515724702,0.31490827580693415,0.1,0.1,0.47774286899009677
trn,1993-06-14,0.3835067950685228,0.1,0.1,0.1,0.1,0.4129666473179857
trn,1993-10-17,0.4771146611156537,0.1,0.1,0.1,0.1,0.5102958432978915
trn,1994-07-09,0.22313237509365824,0.1,0.1,0.1,0.1,0.25944145543046426
trn,1995-02-24,0.859713520411928,0.45363465789479385,0.21487330537883811,0.3792947191878232,0.30655911179772893,0.8378462386323826
trn,1996-12-20,0.833372661545307,0.8719210250832123,0.8833315054449684,0.5946248473461361,0.6535559975506023,0.833020179584877
trn,1994-01-23,0.6105169217735715,0.27153800557404717,0.1,0.39772917102591476,0.3567866700967828,0.713048145847514
trn,1994-09-10,0.41276445842302467,0.43218191941495987,0.34368307963206857,0.541603725545327,0.3921186973360886,0.4372765815009736
trn,1993-09-18,0.6333161454778853,0.1,0.1,0.1,0.1,0.6787231122451527
trn,1996-06-17,0.23723766432614724,0.1,0.1,0.1,0.1,0.23155366675977562
trn,1993-11-20,0.38292119895234955,0.1,0.1,0.15954583420518295,0.1,0.4499962354510674
trn,1996-09-19,0.1561985279155961,0.27153800557404717,0.31490827580693415,0.1,0.1,0.1853155153790635
trn,1995-01-11,0.7552473708136581,0.5618802153517007,0.6326456046999596,0.6864584537761734,0.5359594087304529,0.7498915588173232
trn,1995-05-18,0.29263002192922494,0.45363465789479385,0.4895543316657994,0.41508693783359507,0.3567866700967828,0.34661619090914053
trn,1995-03-23,0.5084497712275988,0.1,0.1,0.1,0.1,0.5310757927438985
trn,1994-09-08,0.43794004514801044,0.1857690027870236,0.21487330537883811,0.2575434689167975,0.2647771681742199,0.39830623678849686
trn,1993-05-11,0.37834086710988457,0.24855627054164153,0.40392619831238397,0.39772917102591476,0.5783811083733187,0.44231484550792166
trn,1994-02-19,0.44034195864366,0.1,0.1,0.1,0.1,0.4855485456865516
trn,1996-09-14,0.17235838877668277,0.1,0.1,0.1,0.1,0.19685516062670422
trn,1995-07-01,0.18566775092713345,0.1,0.1,0.1,0.1,0.2018221351285301
trn,1995-12-18,0.35531553340060995,0.1,0.1,0.1,0.1,0.3768239878388969
trn,1995-09-05,0.14196701141762794,0.1,0.1,0.24585691011106336,0.1,0.1661297280268384
trn,1995-09-29,0.3342808750805264,0.1,0.1,0.35955427380922,0.20787197799411877,0.29125516244736416
trn,1995-12-03,0.353730083770076,0.24855627054164153,0.21487330537883811,0.23314853305972125,0.18807710121010887,0.39701323021379986
trn,1996-04-30,0.39904519188384757,0.1,0.18122769321068954,0.4622031691386369,0.1,0.40302883911039256
trn,1995-05-07,0.2671384089386799,0.1,0.1,0.1,0.1,0.3072370292721054
trn,1993-07-31,0.35787247388216936,0.1,0.1,0.33818333682073176,0.1,0.3327094839393881
trn,1994-06-27,0.30967166978457467,0.1,0.1,0.23314853305972125,0.37852424952911656,0.3153094884827887
trn,1994-05-14,0.3365507542291083,0.1,0.1,0.1,0.1,0.3559448941017844
trn,1994-08-08,0.23955600520080195,0.1,0.1,0.1,0.1,0.258801605631154
trn,1994-03-25,0.8174698519402227,0.1857690027870236,0.1,0.1,0.16227991553292184,0.7301861593611435
trn,1994-08-01,0.25510763013351045,0.22129568697262458,0.4349103588329395,0.1,0.2969463855669324,0.2885605358895432
trn,1995-08-14,0.12456165597538156,0.1,0.1,0.1,0.1,0.13059252873838229
trn,1995-01-28,0.6058017635395725,0.5775415971530588,0.5449023986560388,0.1,0.531487911976475,0.7994039773489012
trn,1995-05-16,0.25077678941994136,0.1,0.1,0.1,0.16227991553292184,0.3119155350919115
trn,1996-05-28,0.4953121812004637,0.3269234515724702,0.34368307963206857,0.5273217501091461,0.2647771681742199,0.4691485142833788
trn,1996-05-11,0.34567091971247405,0.4638870609178737,0.5220714748675954,0.2190916684103659,0.20787197799411877,0.3714539107282092
trn,1996-05-17,0.31860565082058123,0.1,0.18122769321068954,0.1,0.1,0.32949702122644187
trn,1993-07-30,0.40192393487095357,0.24855627054164153,0.1,0.31469555846706465,0.1,0.35756910176852486
trn,1996-10-03,0.3892233147934957,0.1,0.1,0.1842105263157895,0.16227991553292184,0.3370347240945205
trn,1993-12-12,0.7181151917905136,0.3100902925755561,0.1,0.5252423131941928,0.3714718580202554,0.6933889441609999
trn,1996-12-08,0.5229210981654484,0.1857690027870236,0.1,0.1842105263157895,0.1,0.5143407612705777
trn,1995-01-26,0.6742150117771785,0.5113336872891043,0.6072667815152751,0.1,0.2761542024202177,0.7234060139322006
trn,1993-05-07,0.3479082253815246,0.1,0.1,0.1,0.1,0.38543156954412383
trn,1993-06-21,0.44572929742130796,0.1,0.1,0.1,0.1,0.39922413903063314
trn,1993-11-12,0.4100132090522687,0.1,0.1,0.2575434689167975,0.1,0.42019677633011987
trn,1994-07-18,0.18919242082818855,0.1,0.1,0.1,0.1,0.21779487480805143
trn,1995-07-31,0.15241708054828113,0.1,0.1,0.29749118988730233,0.3157439559882375,0.15593915203598338
trn,1995-03-29,0.5903387469894108,0.4835706411883074,0.5374245148429235,0.4622031691386369,0.2969463855669324,0.5681775409699872
trn,1996-04-20,0.5421396753474015,0.1,0.18122769321068954,0.15954583420518295,0.1,0.4383103463607766
trn,1995-01-23,0.7796473831415123,0.24855627054164153,0.31490827580693415,0.3455137639934863,0.3921186973360886,0.7755664373255385
trn,1996-04-11,0.35499951969222243,0.3971125410832831,0.31490827580693415,0.30627282044489923,0.2392621247645583,0.37806450718171314
trn,1996-01-30,0.34459358019325376,0.1,0.1,0.1,0.1,0.3853326681318301
trn,1993-01-31,0.6196570606214203,0.1,0.1,0.1,0.20787197799411877,0.6119511608846981
trn,1995-09-23,0.16495950458960146,0.22129568697262458,0.1,0.2031364102224496,0.18807710121010887,0.18818913156041228
trn,1995-11-17,0.7343150147790753,0.7475417707203037,0.9,0.1,0.2761542024202177,0.6188630470544527
trn,1995-10-11,0.3457731997007518,0.22129568697262458,0.1,0.1,0.1,0.3066243635810737
trn,1994-02-12,0.5559849313873125,0.1,0.1,0.1,0.1,0.5691741729819122
trn,1995-01-31,0.7476521642547711,0.1,0.1,0.1,0.1,0.8716020633072517
trn,1995-07-05,0.1846396844223096,0.1,0.1,0.2575434689167975,0.1,0.20082861397916812
trn,1993-08-27,0.2732711371409581,0.1,0.1,0.1,0.1,0.3123618838249226
trn,1994-04-14,0.583139598437759,0.1,0.1,0.1,0.1,0.5585733425394943
trn,1995-08-23,0.1083996087167557,0.1,0.1,0.1,0.1,0.1
trn,1996-03-08,0.4333453620412909,0.1,0.18122769321068954,0.15954583420518295,0.18807710121010887,0.4837859418971465
trn,1995-03-10,0.5881348375166676,0.22129568697262458,0.1,0.30627282044489923,0.2392621247645583,0.6306049339975719
trn,1995-08-16,0.11904126535955753,0.1,0.1,0.1,0.1,0.11760590761405695
trn,1996-07-24,0.18758769710399098,0.27153800557404717,0.6264156172283035,0.1,0.1,0.20449916552165048
trn,1994-10-13,0.3126262241950806,0.1,0.1,0.1,0.16227991553292184,0.3226136858469972
trn,1993-09-02,0.24353397985262348,0.1,0.1,0.15954583420518295,0.2392621247645583,0.2846146787544662
trn,1995-10-16,0.2290561006631867,0.1,0.1,0.29749118988730233,0.2969463855669324,0.23960143857672853
trn,1995-12-15,0.38814690529885576,0.3971125410832831,0.3928706128587993,0.2031364102224496,0.16227991553292184,0.3974760890684822
trn,1995-10-08,0.5745524158908696,0.2917853205941537,0.1,0.3855717887631692,0.3567866700967828,0.46771688174642934
trn,1993-04-10,0.76763977343711,0.812450845249377,0.5374245148429235,0.735775531391221,0.16227991553292184,0.762524962365827
trn,1993-09-23,0.48226408280574395,0.1,0.1,0.29749118988730233,0.16227991553292184,0.48723795572791917
trn,1994-06-25,0.3152037366416442,0.38446360088750386,0.5220714748675954,0.4904681471787665,0.3567866700967828,0.31864040961070206
trn,1993-11-21,0.3633494156382272,0.1,0.1,0.2031364102224496,0.1,0.4407237586438173
trn,1996-06-06,0.32057645198156864,0.1,0.1,0.1,0.1,0.2919225407304861
trn,1994-09-05,0.30776968580720093,0.2917853205941537,0.18122769321068954,0.3855717887631692,0.3412090756622109,0.30539271783716665
trn,1994-04-25,0.6188191324273707,0.1,0.1,0.1842105263157895,0.20787197799411877,0.5612643192264688
trn,1996-08-23,0.16670344437707943,0.5456688116249245,0.6072667815152751,0.5910275279869727,0.1,0.24991144406890178
trn,1996-12-22,0.6448636485646816,0.1,0.1,0.1,0.1,0.653144313708203
trn,1995-05-26,0.32252664830584876,0.1857690027870236,0.2989664013495228,0.1,0.16227991553292184,0.37640856737142425
trn,1996-03-31,0.40542850313677736,0.1,0.1,0.1,0.1,0.4304078476363047
trn,1996-10-05,0.615892431481864,0.40924453739402744,0.2989664013495228,0.4368421052631579,0.38540242720507034,0.5109354407899638
trn,1993-04-05,0.39317072300797007,0.1,0.21487330537883811,0.23314853305972125,0.5824181513244218,0.5450873259449304
trn,1993-03-27,0.35195801807118277,0.1,0.1,0.15954583420518295,0.1,0.3534806670240964
trn,1996-05-02,0.6403975083763048,0.1,0.4540633061223205,0.5125456408897985,0.37852424952911656,0.7212905657415395
trn,1993-10-09,0.6805189973767479,0.22129568697262458,0.1,0.15954583420518295,0.16227991553292184,0.6733237813044372
trn,1993-03-28,0.3343624196168843,0.1,0.1,0.1,0.1,0.34302023672835336
trn,1996-10-14,0.24988132636686783,0.1,0.1,0.1,0.1,0.23150702582682528
