type,,f,f,f,r,r,r,r,f
source,,f1 (t-1),f2 (t-1),f3 (t-1),r1 (t-1),r2 (t-1),r3 (t-1),r4 (t-1),p
dataset,value,,,,,,,,
trn,1993-03-09,0.14259319995626982,0.12069609550490902,0.12249335878575911,0.1,0.1,0.1,0.1,0.13691399306039972
trn,1993-03-18,0.1311358915491418,0.115718936927387,0.12109169547863466,0.1,0.1,0.10253968253968254,0.1142857142857143,0.13360170654761638
trn,1994-05-13,0.12444517328085712,0.11710204184649556,0.11437706077879084,0.1,0.1,0.1,0.1,0.12231473022416439
trn,1995-07-06,0.10590357494260413,0.10318013174831529,0.10293414852291387,0.1,0.10386473429951691,0.1,0.1,0.10493242665490565
trn,1996-11-21,0.1474035202798732,0.19242573382802047,0.13283896890977293,0.21651865008880994,0.2739130434782609,0.16603174603174603,0.1,0.15126123409674938
trn,1995-03-25,0.16577019787908606,0.1398576512455516,0.140733670622472,0.1483126110124334,0.1,0.23460317460317462,0.19047619047619047,0.20960428077028664
trn,1993-12-06,0.22174483437192524,0.15640443199313497,0.1854347158628239,0.11989342806394317,0.1,0.13555555555555554,0.11190476190476191,0.18845245113702336
trn,1995-11-14,0.1430305018038701,0.1145175538224679,0.1312237188129914,0.1,0.1,0.1,0.1,0.12935333906382904
trn,1995-05-04,0.12129659997813491,0.11444688422806087,0.10945388527719561,0.1,0.1,0.1126984126984127,0.1,0.11596018055561808
trn,1996-05-05,0.15571225538427902,0.1742333610963883,0.13738035802485618,0.1,0.1,0.1,0.1,0.14875901765502716
trn,1996-10-19,0.1188477096315732,0.11711213750283941,0.12121717771755817,0.15399644760213144,0.15024154589371982,0.2396825396825397,0.18333333333333335,0.13586990274658758
trn,1996-03-08,0.15746146277468023,0.12683425456197472,0.1259374457689792,0.1,0.10386473429951691,0.10253968253968254,0.10476190476190476,0.1498571126402434
trn,1995-10-04,0.11290040450420903,0.10429065394613968,0.11193416187208821,0.1227353463587922,0.10772946859903382,0.19396825396825398,0.2285714285714286,0.13740003510303642
trn,1993-12-27,0.18807259210670169,0.24418616390298076,0.15725727863731628,0.1,0.11932367149758455,0.14317460317460318,0.1,0.1964091393905573
trn,1993-12-01,0.19157100688750411,0.169347063425961,0.12234918770274059,0.1227353463587922,0.1463768115942029,0.15841269841269842,0.1380952380952381,0.19826329977543058
trn,1995-03-19,0.24754564338034327,0.23790666565710103,0.2178652000373777,0.15399644760213144,0.1,0.13555555555555554,0.11904761904761905,0.23844277530006347
trn,1994-09-11,0.14565431288947195,0.11297291840185761,0.14689030983433676,0.17104795737122558,0.15024154589371982,0.2231746031746032,0.1523809523809524,0.16825470403189877
trn,1993-08-01,0.11198207062424839,0.11289215315110675,0.1125375445528694,0.1454706927175844,0.1,0.2168253968253968,0.1,0.11583416965567522
trn,1993-08-07,0.3319448999672024,0.22806340072183942,0.1861635807825286,0.12557726465364122,0.12318840579710146,0.10761904761904763,0.10476190476190476,0.18110781582606897
trn,1993-01-15,0.3931671586312452,0.37717624492062296,0.2558409312384029,0.11989342806394317,0.10772946859903382,0.1253968253968254,0.1380952380952381,0.4544614609163693
trn,1993-05-16,0.7688094457199082,0.48572474192978476,0.28774812777829695,0.1113676731793961,0.1,0.29555555555555557,0.22380952380952382,0.4027969919398028
trn,1996-07-30,0.104285558106483,0.11284167486938745,0.10275526958657608,0.1369449378330373,0.18888888888888888,0.2993650793650794,0.1,0.11316993919974078
trn,1996-12-26,0.14784082212747351,0.17755483203351757,0.13271081683597868,0.1,0.11545893719806764,0.10253968253968254,0.10476190476190476,0.152863372681737
trn,1995-03-11,0.19987974199190994,0.1943035259079781,0.222601487098023,0.1,0.1,0.1,0.1,0.3023483031282206
trn,1995-10-25,0.10782770307204549,0.1041896973827011,0.10825779925511608,0.14262877442273536,0.19661835748792272,0.15587301587301589,0.1,0.11738230356925874
trn,1993-08-06,0.3306329944244014,0.35765124555160144,0.3261430230540241,0.6200710479573712,0.8999999999999999,0.4580952380952381,0.49523809523809526,0.32341012497581045
